Unnamed: 0,abv,id,name,style,brewery_id,ounces,brew_name,city,state
0,5.0,1436,Pub Beer,American Pale Lager,408,12.0,10 Barrel Brewing Company,Bend, OR
1,6.6000000000000005,2265,Devil's Cup,American Pale Ale (APA),177,12.0,18th Street Brewery,Gary, IN
2,7.1,2264,Rise of the Phoenix,American IPA,177,12.0,18th Street Brewery,Gary, IN
3,9.0,2263,Sinister,American Double / Imperial IPA,177,12.0,18th Street Brewery,Gary, IN
4,7.5,2262,Sex and Candy,American IPA,177,12.0,18th Street Brewery,Gary, IN
5,7.7,2261,Black Exodus,Oatmeal Stout,177,12.0,18th Street Brewery,Gary, IN
6,4.5,2260,Lake Street Express,American Pale Ale (APA),177,12.0,18th Street Brewery,Gary, IN
7,6.5,2259,Foreman,American Porter,177,12.0,18th Street Brewery,Gary, IN
8,5.5,2258,Jade,American Pale Ale (APA),177,12.0,18th Street Brewery,Gary, IN
9,8.6,2131,Cone Crusher,American Double / Imperial IPA,177,12.0,18th Street Brewery,Gary, IN
10,7.199999999999999,2099,Sophomoric Saison,Saison / Farmhouse Ale,177,12.0,18th Street Brewery,Gary, IN
11,7.3,2098,Regional Ring Of Fire,Saison / Farmhouse Ale,177,12.0,18th Street Brewery,Gary, IN
12,6.9,2097,Garce Selé,Saison / Farmhouse Ale,177,12.0,18th Street Brewery,Gary, IN
13,8.5,1980,Troll Destroyer,Belgian IPA,177,12.0,18th Street Brewery,Gary, IN
14,6.1,1979,Bitter Bitch,American Pale Ale (APA),177,12.0,18th Street Brewery,Gary, IN
15,6.0,2318,Ginja Ninja,Cider,154,12.0,2 Towns Ciderhouse,Corvallis, OR
16,6.0,2170,Cherried Away,Cider,154,12.0,2 Towns Ciderhouse,Corvallis, OR
17,6.0,2169,Rhubarbarian,Cider,154,12.0,2 Towns Ciderhouse,Corvallis, OR
18,6.0,1502,BrightCider,Cider,154,12.0,2 Towns Ciderhouse,Corvallis, OR
19,8.19999999999999,1593,He Said Baltic-Style Porter,Baltic Porter,368,12.0,21st Amendment Brewery,San Francisco, CA
20,8.19999999999999,1592,He Said Belgian-Style Tripel,Tripel,368,12.0,21st Amendment Brewery,San Francisco, CA
21,9.9,1036,Lower De Boom,American Barleywine,368,8.4,21st Amendment Brewery,San Francisco, CA
22,7.9,1024,Fireside Chat,Winter Warmer,368,12.0,21st Amendment Brewery,San Francisco, CA
23,7.9,976,Marooned On Hog Island,American Stout,368,12.0,21st Amendment Brewery,San Francisco, CA
24,4.3999999999999995,876,Bitter American,American Pale Ale (APA),368,12.0,21st Amendment Brewery,San Francisco, CA
25,4.9,802,Hell or High Watermelon Wheat (2009),Fruit / Vegetable Beer,368,12.0,21st Amendment Brewery,San Francisco, CA
26,4.9,801,Hell or High Watermelon Wheat (2009),Fruit / Vegetable Beer,368,12.0,21st Amendment Brewery,San Francisco, CA
27,4.9,800,21st Amendment Watermelon Wheat Beer (2006),Fruit / Vegetable Beer,368,12.0,21st Amendment Brewery,San Francisco, CA
28,7.000000000000001,799,21st Amendment IPA (2006),American IPA,368,12.0,21st Amendment Brewery,San Francisco, CA
29,7.000000000000001,797,Brew Free! or Die IPA (2008),American IPA,368,12.0,21st Amendment Brewery,San Francisco, CA
30,7.000000000000001,796,Brew Free! or Die IPA (2009),American IPA,368,12.0,21st Amendment Brewery,San Francisco, CA
31,8.5,531,Special Edition: Allies Win The War!,English Strong Ale,368,12.0,21st Amendment Brewery,San Francisco, CA
32,9.69999999999999,432,Hop Crisis,American Double / Imperial IPA,368,12.0,21st Amendment Brewery,San Francisco, CA
33,4.3999999999999995,353,Bitter American (2011),American Pale Ale (APA),368,12.0,21st Amendment Brewery,San Francisco, CA
34,7.9,321,Fireside Chat (2010),Winter Warmer,368,12.0,21st Amendment Brewery,San Francisco, CA
35,6.800000000000001,173,Back in Black,American Black Ale,368,12.0,21st Amendment Brewery,San Francisco, CA
36,8.3,11,Monk's Blood,Belgian Dark Ale,368,12.0,21st Amendment Brewery,San Francisco, CA
37,7.000000000000001,10,Brew Free! or Die IPA,American IPA,368,12.0,21st Amendment Brewery,San Francisco, CA
38,4.9,9,Hell or High Watermelon Wheat,Fruit / Vegetable Beer,368,12.0,21st Amendment Brewery,San Francisco, CA
